fecha,clinica,principio_activo,glosa,precio_clp
2026-06-20,UC Marcoleta,daratumumab,DARATUMUMAB SC 1800 MG (FO0641),5473958
2026-06-20,UC Marcoleta,nivolumab,NIVOLUMAB 40 MG REFRIGERADO (FO0151),921122
2026-06-20,UC Marcoleta,nivolumab,NIVOLUMAB 100 MG *REFRIGERADO* (FO0152),2129885
2026-06-20,UC Marcoleta,bevacizumab,BEVACIZUMAB 100 MG /4 ML *REFRIGERADO* (FO0026),586265
2026-06-20,UC Marcoleta,bevacizumab,BEVACIZUMAB 400 MG 16 ML REFRIGERADO (FO0516),2024416
2026-06-20,UC Marcoleta,bevacizumab,AVASTIN DOSIS JERINGA (OF88920),72281
2026-06-20,UC Marcoleta,rituximab,RITUXIMAB 100 MG (FO0091),424959
2026-06-20,UC Marcoleta,rituximab,RITUXIMAB 500 MG *REFRIGERADO* (FO0092),1750563
2026-06-20,UC Marcoleta,rituximab,"RITUXIMAB 1400MG/11,7ML SUBCUTANEO (FO0154)",1593267
2026-06-20,UC Marcoleta,rituximab,RITUXIMAB 500MG REFRIGERADO BIOSIMILAR (FX9037),394485
2026-06-20,UC Marcoleta,cetuximab,CETUXIMAB 100 MG REFRIGERADO (FO0123),472356
2026-06-20,UC Marcoleta,ipilimumab,IPILIMUMAB 50MG EV AMP (FO0160),3588387
2026-06-20,UC San Carlos,pembrolizumab,PEMBROLIZUMAB 100MG 4ML (FX0045),4469630
2026-06-20,UC San Carlos,daratumumab,DARATUMUMAB 400 MG 20 ML X 1 FA (FO0573),2530511
2026-06-20,UC San Carlos,daratumumab,DARATUMUMAB 100 MG 5 ML X 1 FA (FO0574),628683
2026-06-20,UC San Carlos,daratumumab,DARATUMUMAB SC 1800 MG (FO0641),6021353
2026-06-20,UC San Carlos,nivolumab,NIVOLUMAB 40 MG REFRIGERADO (FO0151),1004746
2026-06-20,UC San Carlos,nivolumab,NIVOLUMAB 100 MG REFRIGERADO (FO0152),2321652
2026-06-20,UC San Carlos,bevacizumab,BEVACIZUMAB 100 MG 4 ML REFRIGERADO (FO0026),644891
2026-06-20,UC San Carlos,bevacizumab,BEVACIZUMAB 400 MG 16 ML REFRIGERADO (FO0516),2226857
2026-06-20,UC San Carlos,bevacizumab,AVASTIN DOSIS JERINGA (OF88920),80312
2026-06-20,UC San Carlos,rituximab,RITUXIMAB 100 MG (FO0091),467455
2026-06-20,UC San Carlos,rituximab,RITUXIMAB 500 MG REFRIGERADO (FO0092),1925619
2026-06-20,UC San Carlos,rituximab,RITUXIMAB 1400MG 11 7ML SUBCUTANEO (FO0154),1752593
2026-06-20,UC San Carlos,rituximab,RITUXIMAB 500MG REFRIGERADO BIOSIMILAR (FX9037),433933
2026-06-20,UC San Carlos,cetuximab,CETUXIMAB 100 MG REFRIGERADO (FO0123),519591
2026-06-20,UC San Carlos,ipilimumab,IPILIMUMAB 50MG EV AMP (FO0160),3947225
2026-06-22,Clinica INDISA,pembrolizumab,PEMBROLIZUMAB 100 MG/4ML (KEYTRUDA),6030118
2026-06-22,Clinica INDISA,daratumumab,DARATUMUMAB 100 MG/5ML (DARZALEX),608349
2026-06-22,Clinica INDISA,daratumumab,DARATUMUMAB 400 MG/20 ML (DARZALEX),2431941
2026-06-22,Clinica INDISA,nivolumab,NIVOLUMAB 100MG/10ML FRASCO,2608162
2026-06-22,Clinica INDISA,nivolumab,NIVOLUMAB 40MG/4ML FRASCO,930122
2026-06-22,Clinica INDISA,nivolumab,NIVOLUMAB 100 MG/10 ML (OPDIVO),2654551
2026-06-22,Clinica INDISA,nivolumab,NIVOLUMAB 40 MG/4 ML (OPDIVO),946666
2026-06-22,Clinica INDISA,bevacizumab,BEVACIZUMAB (AVASTIN) 100 MG/4ML,1054823
2026-06-22,Clinica INDISA,bevacizumab,BEVACIZUMAB (AVASTIN) 400 MG/16 ML,2332689
2026-06-22,Clinica INDISA,bevacizumab,BEVACIZUMAB 100 MG/4 ML (ABXEDA) FRASCO,433160
2026-06-22,Clinica INDISA,bevacizumab,AVASTIN INYECCION 2.5MG (OFTALMOL),64558
2026-06-22,Clinica INDISA,bevacizumab,AVASTIN 100 MG (REFRIGERADO),1036388
2026-06-22,Clinica INDISA,bevacizumab,AVASTIN OFTALMICO 1.25MG/0.05ML,42860
2026-06-22,Clinica INDISA,bevacizumab,AVASTIN 2.5 MG/0.1 ML OFTAL JERINGA,44050
2026-06-22,Clinica INDISA,bevacizumab,PAÃ‘O PROCEDIMIENTO AVASTIN (OFTALMOL),1159
2026-06-22,Clinica INDISA,rituximab,RITUXIMAB 100 MG/10 ML (MABTHERA),1464395
2026-06-22,Clinica INDISA,rituximab,RITUXIMAB 500 MG (MABTHERA),3139895
2026-06-22,Clinica INDISA,rituximab,RITUXIMAB 1400 MG (MABTHERA) SC,2223441
2026-06-22,Clinica INDISA,rituximab,RITUXIMAB 100MG/50ML (RIXATHON),454947
2026-06-22,Clinica INDISA,rituximab,RITUXIMAB 500MG/50ML (RIXATHON),1365214
2026-06-22,Clinica INDISA,rituximab,MABTHERA 500MG 50ML,3085023
2026-06-22,Clinica INDISA,rituximab,MABTHERA 100 MG ONCOLOGIA,1142960
2026-06-22,Clinica INDISA,cetuximab,CETUXIMAB 100 MG/20 ML (ERBITUX),425051
2026-06-22,Clinica INDISA,cetuximab,ERBITUX 100MG/50ML,469466
2026-06-22,Clinica INDISA,cetuximab,ERBITUX 500 MG X 100 ML,2320398
2026-06-22,Clinica INDISA,ipilimumab,IPILIMUMAB 50 MG (YERVOY),4758742
2026-06-22,UC Marcoleta,pembrolizumab,PEMBROLIZUMAB 100MG/4ML (FX0045),4063300
2026-06-22,UC Marcoleta,daratumumab,DARATUMUMAB 400 MG 20 ML X 1 FA (FO0573),2319665
2026-06-22,UC Marcoleta,daratumumab,DARATUMUMAB 100 MG / 5 ML X 1 FA (FO0574),571530
2026-06-22,UC Marcoleta,daratumumab,DARATUMUMAB SC 1800 MG (FO0641),5473958
2026-06-22,UC Marcoleta,nivolumab,NIVOLUMAB 40 MG REFRIGERADO (FO0151),921122
2026-06-22,UC Marcoleta,nivolumab,NIVOLUMAB 100 MG *REFRIGERADO* (FO0152),2129885
2026-06-22,UC Marcoleta,bevacizumab,BEVACIZUMAB 100 MG /4 ML *REFRIGERADO* (FO0026),586265
2026-06-22,UC Marcoleta,bevacizumab,BEVACIZUMAB 400 MG 16 ML REFRIGERADO (FO0516),2024416
2026-06-22,UC Marcoleta,bevacizumab,AVASTIN DOSIS JERINGA (OF88920),72281
2026-06-22,UC Marcoleta,rituximab,RITUXIMAB 100 MG (FO0091),424959
2026-06-22,UC Marcoleta,rituximab,RITUXIMAB 500 MG *REFRIGERADO* (FO0092),1750563
2026-06-22,UC Marcoleta,rituximab,"RITUXIMAB 1400MG/11,7ML SUBCUTANEO (FO0154)",1593267
2026-06-22,UC Marcoleta,rituximab,RITUXIMAB 500MG REFRIGERADO BIOSIMILAR (FX9037),394485
2026-06-22,UC Marcoleta,cetuximab,CETUXIMAB 100 MG REFRIGERADO (FO0123),472356
2026-06-22,UC Marcoleta,ipilimumab,IPILIMUMAB 50MG EV AMP (FO0160),3588387
2026-06-22,UC San Carlos,pembrolizumab,PEMBROLIZUMAB 100MG 4ML (FX0045),4469630
2026-06-22,UC San Carlos,daratumumab,DARATUMUMAB 400 MG 20 ML X 1 FA (FO0573),2530511
2026-06-22,UC San Carlos,daratumumab,DARATUMUMAB 100 MG 5 ML X 1 FA (FO0574),628683
2026-06-22,UC San Carlos,daratumumab,DARATUMUMAB SC 1800 MG (FO0641),6021353
2026-06-22,UC San Carlos,nivolumab,NIVOLUMAB 40 MG REFRIGERADO (FO0151),1004746
2026-06-22,UC San Carlos,nivolumab,NIVOLUMAB 100 MG REFRIGERADO (FO0152),2321652
2026-06-22,UC San Carlos,bevacizumab,BEVACIZUMAB 100 MG 4 ML REFRIGERADO (FO0026),644891
2026-06-22,UC San Carlos,bevacizumab,BEVACIZUMAB 400 MG 16 ML REFRIGERADO (FO0516),2226857
2026-06-22,UC San Carlos,bevacizumab,AVASTIN DOSIS JERINGA (OF88920),80312
2026-06-22,UC San Carlos,rituximab,RITUXIMAB 100 MG (FO0091),467455
2026-06-22,UC San Carlos,rituximab,RITUXIMAB 500 MG REFRIGERADO (FO0092),1925619
2026-06-22,UC San Carlos,rituximab,RITUXIMAB 1400MG 11 7ML SUBCUTANEO (FO0154),1752593
2026-06-22,UC San Carlos,rituximab,RITUXIMAB 500MG REFRIGERADO BIOSIMILAR (FX9037),433933
2026-06-22,UC San Carlos,cetuximab,CETUXIMAB 100 MG REFRIGERADO (FO0123),519591
2026-06-22,UC San Carlos,ipilimumab,IPILIMUMAB 50MG EV AMP (FO0160),3947225
2026-06-29,Clinica INDISA,pembrolizumab,PEMBROLIZUMAB 100 MG/4ML (KEYTRUDA),6030118
2026-06-29,Clinica INDISA,daratumumab,DARATUMUMAB 100 MG/5ML (DARZALEX),608349
2026-06-29,Clinica INDISA,daratumumab,DARATUMUMAB 400 MG/20 ML (DARZALEX),2431941
2026-06-29,Clinica INDISA,nivolumab,NIVOLUMAB 100MG/10ML FRASCO,2608162
2026-06-29,Clinica INDISA,nivolumab,NIVOLUMAB 40MG/4ML FRASCO,930122
2026-06-29,Clinica INDISA,nivolumab,NIVOLUMAB 100 MG/10 ML (OPDIVO),2654551
2026-06-29,Clinica INDISA,nivolumab,NIVOLUMAB 40 MG/4 ML (OPDIVO),946666
2026-06-29,Clinica INDISA,bevacizumab,BEVACIZUMAB (AVASTIN) 100 MG/4ML,1054823
2026-06-29,Clinica INDISA,bevacizumab,BEVACIZUMAB (AVASTIN) 400 MG/16 ML,2332689
2026-06-29,Clinica INDISA,bevacizumab,BEVACIZUMAB 100 MG/4 ML (ABXEDA) FRASCO,433160
2026-06-29,Clinica INDISA,bevacizumab,AVASTIN INYECCION 2.5MG (OFTALMOL),64558
2026-06-29,Clinica INDISA,bevacizumab,AVASTIN 100 MG (REFRIGERADO),1036388
2026-06-29,Clinica INDISA,bevacizumab,AVASTIN OFTALMICO 1.25MG/0.05ML,42860
2026-06-29,Clinica INDISA,bevacizumab,AVASTIN 2.5 MG/0.1 ML OFTAL JERINGA,44050
2026-06-29,Clinica INDISA,bevacizumab,PAÃ‘O PROCEDIMIENTO AVASTIN (OFTALMOL),1159
2026-06-29,Clinica INDISA,rituximab,RITUXIMAB 100 MG/10 ML (MABTHERA),1464395
2026-06-29,Clinica INDISA,rituximab,RITUXIMAB 500 MG (MABTHERA),3139895
2026-06-29,Clinica INDISA,rituximab,RITUXIMAB 1400 MG (MABTHERA) SC,2223441
2026-06-29,Clinica INDISA,rituximab,RITUXIMAB 100MG/50ML (RIXATHON),454947
2026-06-29,Clinica INDISA,rituximab,RITUXIMAB 500MG/50ML (RIXATHON),1365214
2026-06-29,Clinica INDISA,rituximab,MABTHERA 500MG 50ML,3085023
2026-06-29,Clinica INDISA,rituximab,MABTHERA 100 MG ONCOLOGIA,1142960
2026-06-29,Clinica INDISA,cetuximab,CETUXIMAB 100 MG/20 ML (ERBITUX),425051
2026-06-29,Clinica INDISA,cetuximab,ERBITUX 100MG/50ML,469466
2026-06-29,Clinica INDISA,cetuximab,ERBITUX 500 MG X 100 ML,2320398
2026-06-29,Clinica INDISA,ipilimumab,IPILIMUMAB 50 MG (YERVOY),4758742
2026-06-29,UC Marcoleta,pembrolizumab,PEMBROLIZUMAB 100MG/4ML (FX0045),4063300
2026-06-29,UC Marcoleta,daratumumab,DARATUMUMAB 400 MG 20 ML X 1 FA (FO0573),2319665
2026-06-29,UC Marcoleta,daratumumab,DARATUMUMAB 100 MG / 5 ML X 1 FA (FO0574),571530
2026-06-29,UC Marcoleta,daratumumab,DARATUMUMAB SC 1800 MG (FO0641),5473958
2026-06-29,UC Marcoleta,nivolumab,NIVOLUMAB 40 MG REFRIGERADO (FO0151),921122
2026-06-29,UC Marcoleta,nivolumab,NIVOLUMAB 100 MG *REFRIGERADO* (FO0152),2129885
2026-06-29,UC Marcoleta,bevacizumab,BEVACIZUMAB 100 MG /4 ML *REFRIGERADO* (FO0026),586265
2026-06-29,UC Marcoleta,bevacizumab,BEVACIZUMAB 400 MG 16 ML REFRIGERADO (FO0516),2024416
2026-06-29,UC Marcoleta,bevacizumab,AVASTIN DOSIS JERINGA (OF88920),72281
2026-06-29,UC Marcoleta,rituximab,RITUXIMAB 100 MG (FO0091),424959
2026-06-29,UC Marcoleta,rituximab,RITUXIMAB 500 MG *REFRIGERADO* (FO0092),1750563
2026-06-29,UC Marcoleta,rituximab,"RITUXIMAB 1400MG/11,7ML SUBCUTANEO (FO0154)",1593267
2026-06-29,UC Marcoleta,rituximab,RITUXIMAB 500MG REFRIGERADO BIOSIMILAR (FX9037),394485
2026-06-29,UC Marcoleta,cetuximab,CETUXIMAB 100 MG REFRIGERADO (FO0123),472356
2026-06-29,UC Marcoleta,ipilimumab,IPILIMUMAB 50MG EV AMP (FO0160),3588387
2026-06-29,UC San Carlos,pembrolizumab,PEMBROLIZUMAB 100MG 4ML (FX0045),4469630
2026-06-29,UC San Carlos,daratumumab,DARATUMUMAB 400 MG 20 ML X 1 FA (FO0573),2530511
2026-06-29,UC San Carlos,daratumumab,DARATUMUMAB 100 MG 5 ML X 1 FA (FO0574),628683
2026-06-29,UC San Carlos,daratumumab,DARATUMUMAB SC 1800 MG (FO0641),6021353
2026-06-29,UC San Carlos,nivolumab,NIVOLUMAB 40 MG REFRIGERADO (FO0151),1004746
2026-06-29,UC San Carlos,nivolumab,NIVOLUMAB 100 MG REFRIGERADO (FO0152),2321652
2026-06-29,UC San Carlos,bevacizumab,BEVACIZUMAB 100 MG 4 ML REFRIGERADO (FO0026),644891
2026-06-29,UC San Carlos,bevacizumab,BEVACIZUMAB 400 MG 16 ML REFRIGERADO (FO0516),2226857
2026-06-29,UC San Carlos,bevacizumab,AVASTIN DOSIS JERINGA (OF88920),80312
2026-06-29,UC San Carlos,rituximab,RITUXIMAB 100 MG (FO0091),467455
2026-06-29,UC San Carlos,rituximab,RITUXIMAB 500 MG REFRIGERADO (FO0092),1925619
2026-06-29,UC San Carlos,rituximab,RITUXIMAB 1400MG 11 7ML SUBCUTANEO (FO0154),1752593
2026-06-29,UC San Carlos,rituximab,RITUXIMAB 500MG REFRIGERADO BIOSIMILAR (FX9037),433933
2026-06-29,UC San Carlos,cetuximab,CETUXIMAB 100 MG REFRIGERADO (FO0123),519591
2026-06-29,UC San Carlos,ipilimumab,IPILIMUMAB 50MG EV AMP (FO0160),3947225
2026-07-06,Clinica INDISA,pembrolizumab,PEMBROLIZUMAB 100 MG/4ML (KEYTRUDA),6030118
2026-07-06,Clinica INDISA,daratumumab,DARATUMUMAB 100 MG/5ML (DARZALEX),608349
2026-07-06,Clinica INDISA,daratumumab,DARATUMUMAB 400 MG/20 ML (DARZALEX),2431941
2026-07-06,Clinica INDISA,nivolumab,NIVOLUMAB 100MG/10ML FRASCO,2608162
2026-07-06,Clinica INDISA,nivolumab,NIVOLUMAB 40MG/4ML FRASCO,930122
2026-07-06,Clinica INDISA,nivolumab,NIVOLUMAB 100 MG/10 ML (OPDIVO),2654551
2026-07-06,Clinica INDISA,nivolumab,NIVOLUMAB 40 MG/4 ML (OPDIVO),946666
2026-07-06,Clinica INDISA,bevacizumab,BEVACIZUMAB (AVASTIN) 100 MG/4ML,1054823
2026-07-06,Clinica INDISA,bevacizumab,BEVACIZUMAB (AVASTIN) 400 MG/16 ML,2332689
2026-07-06,Clinica INDISA,bevacizumab,BEVACIZUMAB 100 MG/4 ML (ABXEDA) FRASCO,433160
2026-07-06,Clinica INDISA,bevacizumab,AVASTIN INYECCION 2.5MG (OFTALMOL),64558
2026-07-06,Clinica INDISA,bevacizumab,AVASTIN 100 MG (REFRIGERADO),1036388
2026-07-06,Clinica INDISA,bevacizumab,AVASTIN OFTALMICO 1.25MG/0.05ML,42860
2026-07-06,Clinica INDISA,bevacizumab,AVASTIN 2.5 MG/0.1 ML OFTAL JERINGA,44050
2026-07-06,Clinica INDISA,bevacizumab,PAÃ‘O PROCEDIMIENTO AVASTIN (OFTALMOL),1159
2026-07-06,Clinica INDISA,rituximab,RITUXIMAB 100 MG/10 ML (MABTHERA),1464395
2026-07-06,Clinica INDISA,rituximab,RITUXIMAB 500 MG (MABTHERA),3139895
2026-07-06,Clinica INDISA,rituximab,RITUXIMAB 1400 MG (MABTHERA) SC,2223441
2026-07-06,Clinica INDISA,rituximab,RITUXIMAB 100MG/50ML (RIXATHON),454947
2026-07-06,Clinica INDISA,rituximab,RITUXIMAB 500MG/50ML (RIXATHON),1365214
2026-07-06,Clinica INDISA,rituximab,MABTHERA 500MG 50ML,3085023
2026-07-06,Clinica INDISA,rituximab,MABTHERA 100 MG ONCOLOGIA,1142960
2026-07-06,Clinica INDISA,cetuximab,CETUXIMAB 100 MG/20 ML (ERBITUX),425051
2026-07-06,Clinica INDISA,cetuximab,ERBITUX 100MG/50ML,469466
2026-07-06,Clinica INDISA,cetuximab,ERBITUX 500 MG X 100 ML,2320398
2026-07-06,Clinica INDISA,ipilimumab,IPILIMUMAB 50 MG (YERVOY),4758742
2026-07-06,UC Marcoleta,pembrolizumab,PEMBROLIZUMAB 100MG/4ML (FX0045),4063300
2026-07-06,UC Marcoleta,daratumumab,DARATUMUMAB 400 MG 20 ML X 1 FA (FO0573),2319665
2026-07-06,UC Marcoleta,daratumumab,DARATUMUMAB 100 MG / 5 ML X 1 FA (FO0574),571530
2026-07-06,UC Marcoleta,daratumumab,DARATUMUMAB SC 1800 MG (FO0641),5473958
2026-07-06,UC Marcoleta,nivolumab,NIVOLUMAB 40 MG REFRIGERADO (FO0151),921122
2026-07-06,UC Marcoleta,nivolumab,NIVOLUMAB 100 MG *REFRIGERADO* (FO0152),2129885
2026-07-06,UC Marcoleta,bevacizumab,BEVACIZUMAB 100 MG /4 ML *REFRIGERADO* (FO0026),586265
2026-07-06,UC Marcoleta,bevacizumab,BEVACIZUMAB 400 MG 16 ML REFRIGERADO (FO0516),2024416
2026-07-06,UC Marcoleta,bevacizumab,AVASTIN DOSIS JERINGA (OF88920),72281
2026-07-06,UC Marcoleta,rituximab,RITUXIMAB 100 MG (FO0091),424959
2026-07-06,UC Marcoleta,rituximab,RITUXIMAB 500 MG *REFRIGERADO* (FO0092),1750563
2026-07-06,UC Marcoleta,rituximab,"RITUXIMAB 1400MG/11,7ML SUBCUTANEO (FO0154)",1593267
2026-07-06,UC Marcoleta,rituximab,RITUXIMAB 500MG REFRIGERADO BIOSIMILAR (FX9037),394485
2026-07-06,UC Marcoleta,cetuximab,CETUXIMAB 100 MG REFRIGERADO (FO0123),472356
2026-07-06,UC Marcoleta,ipilimumab,IPILIMUMAB 50MG EV AMP (FO0160),3588387
2026-07-06,UC San Carlos,pembrolizumab,PEMBROLIZUMAB 100MG 4ML (FX0045),4469630
2026-07-06,UC San Carlos,daratumumab,DARATUMUMAB 400 MG 20 ML X 1 FA (FO0573),2530511
2026-07-06,UC San Carlos,daratumumab,DARATUMUMAB 100 MG 5 ML X 1 FA (FO0574),628683
2026-07-06,UC San Carlos,daratumumab,DARATUMUMAB SC 1800 MG (FO0641),6021353
2026-07-06,UC San Carlos,nivolumab,NIVOLUMAB 40 MG REFRIGERADO (FO0151),1004746
2026-07-06,UC San Carlos,nivolumab,NIVOLUMAB 100 MG REFRIGERADO (FO0152),2321652
2026-07-06,UC San Carlos,bevacizumab,BEVACIZUMAB 100 MG 4 ML REFRIGERADO (FO0026),644891
2026-07-06,UC San Carlos,bevacizumab,BEVACIZUMAB 400 MG 16 ML REFRIGERADO (FO0516),2226857
2026-07-06,UC San Carlos,bevacizumab,AVASTIN DOSIS JERINGA (OF88920),80312
2026-07-06,UC San Carlos,rituximab,RITUXIMAB 100 MG (FO0091),467455
2026-07-06,UC San Carlos,rituximab,RITUXIMAB 500 MG REFRIGERADO (FO0092),1925619
2026-07-06,UC San Carlos,rituximab,RITUXIMAB 1400MG 11 7ML SUBCUTANEO (FO0154),1752593
2026-07-06,UC San Carlos,rituximab,RITUXIMAB 500MG REFRIGERADO BIOSIMILAR (FX9037),433933
2026-07-06,UC San Carlos,cetuximab,CETUXIMAB 100 MG REFRIGERADO (FO0123),519591
2026-07-06,UC San Carlos,ipilimumab,IPILIMUMAB 50MG EV AMP (FO0160),3947225
2026-07-13,Clinica INDISA,pembrolizumab,PEMBROLIZUMAB 100 MG/4ML (KEYTRUDA),6030118
2026-07-13,Clinica INDISA,daratumumab,DARATUMUMAB 100 MG/5ML (DARZALEX),608349
2026-07-13,Clinica INDISA,daratumumab,DARATUMUMAB 400 MG/20 ML (DARZALEX),2431941
2026-07-13,Clinica INDISA,nivolumab,NIVOLUMAB 100MG/10ML FRASCO,2608162
2026-07-13,Clinica INDISA,nivolumab,NIVOLUMAB 40MG/4ML FRASCO,930122
2026-07-13,Clinica INDISA,nivolumab,NIVOLUMAB 100 MG/10 ML (OPDIVO),2654551
2026-07-13,Clinica INDISA,nivolumab,NIVOLUMAB 40 MG/4 ML (OPDIVO),946666
2026-07-13,Clinica INDISA,bevacizumab,BEVACIZUMAB (AVASTIN) 100 MG/4ML,1054823
2026-07-13,Clinica INDISA,bevacizumab,BEVACIZUMAB (AVASTIN) 400 MG/16 ML,2332689
2026-07-13,Clinica INDISA,bevacizumab,BEVACIZUMAB 100 MG/4 ML (ABXEDA) FRASCO,433160
2026-07-13,Clinica INDISA,bevacizumab,AVASTIN INYECCION 2.5MG (OFTALMOL),64558
2026-07-13,Clinica INDISA,bevacizumab,AVASTIN 100 MG (REFRIGERADO),1036388
2026-07-13,Clinica INDISA,bevacizumab,AVASTIN OFTALMICO 1.25MG/0.05ML,42860
2026-07-13,Clinica INDISA,bevacizumab,AVASTIN 2.5 MG/0.1 ML OFTAL JERINGA,44050
2026-07-13,Clinica INDISA,bevacizumab,PAÃ‘O PROCEDIMIENTO AVASTIN (OFTALMOL),1159
2026-07-13,Clinica INDISA,rituximab,RITUXIMAB 100 MG/10 ML (MABTHERA),1464395
2026-07-13,Clinica INDISA,rituximab,RITUXIMAB 500 MG (MABTHERA),3139895
2026-07-13,Clinica INDISA,rituximab,RITUXIMAB 1400 MG (MABTHERA) SC,2223441
2026-07-13,Clinica INDISA,rituximab,RITUXIMAB 100MG/50ML (RIXATHON),454947
2026-07-13,Clinica INDISA,rituximab,RITUXIMAB 500MG/50ML (RIXATHON),1365214
2026-07-13,Clinica INDISA,rituximab,MABTHERA 500MG 50ML,3085023
2026-07-13,Clinica INDISA,rituximab,MABTHERA 100 MG ONCOLOGIA,1142960
2026-07-13,Clinica INDISA,cetuximab,CETUXIMAB 100 MG/20 ML (ERBITUX),425051
2026-07-13,Clinica INDISA,cetuximab,ERBITUX 100MG/50ML,469466
2026-07-13,Clinica INDISA,cetuximab,ERBITUX 500 MG X 100 ML,2320398
2026-07-13,Clinica INDISA,ipilimumab,IPILIMUMAB 50 MG (YERVOY),4758742
2026-07-13,UC Marcoleta,pembrolizumab,PEMBROLIZUMAB 100MG/4ML (FX0045),4063300
2026-07-13,UC Marcoleta,daratumumab,DARATUMUMAB 400 MG 20 ML X 1 FA (FO0573),2319665
2026-07-13,UC Marcoleta,daratumumab,DARATUMUMAB 100 MG / 5 ML X 1 FA (FO0574),571530
2026-07-13,UC Marcoleta,daratumumab,DARATUMUMAB SC 1800 MG (FO0641),5473958
2026-07-13,UC Marcoleta,nivolumab,NIVOLUMAB 40 MG REFRIGERADO (FO0151),921122
2026-07-13,UC Marcoleta,nivolumab,NIVOLUMAB 100 MG *REFRIGERADO* (FO0152),2129885
2026-07-13,UC Marcoleta,bevacizumab,BEVACIZUMAB 100 MG /4 ML *REFRIGERADO* (FO0026),586265
2026-07-13,UC Marcoleta,bevacizumab,BEVACIZUMAB 400 MG 16 ML REFRIGERADO (FO0516),2024416
2026-07-13,UC Marcoleta,bevacizumab,AVASTIN DOSIS JERINGA (OF88920),72281
2026-07-13,UC Marcoleta,rituximab,RITUXIMAB 100 MG (FO0091),424959
2026-07-13,UC Marcoleta,rituximab,RITUXIMAB 500 MG *REFRIGERADO* (FO0092),1750563
2026-07-13,UC Marcoleta,rituximab,"RITUXIMAB 1400MG/11,7ML SUBCUTANEO (FO0154)",1593267
2026-07-13,UC Marcoleta,rituximab,RITUXIMAB 500MG REFRIGERADO BIOSIMILAR (FX9037),394485
2026-07-13,UC Marcoleta,cetuximab,CETUXIMAB 100 MG REFRIGERADO (FO0123),472356
2026-07-13,UC Marcoleta,ipilimumab,IPILIMUMAB 50MG EV AMP (FO0160),3588387
2026-07-13,UC San Carlos,pembrolizumab,PEMBROLIZUMAB 100MG 4ML (FX0045),4469630
2026-07-13,UC San Carlos,daratumumab,DARATUMUMAB 400 MG 20 ML X 1 FA (FO0573),2530511
2026-07-13,UC San Carlos,daratumumab,DARATUMUMAB 100 MG 5 ML X 1 FA (FO0574),628683
2026-07-13,UC San Carlos,daratumumab,DARATUMUMAB SC 1800 MG (FO0641),6021353
2026-07-13,UC San Carlos,nivolumab,NIVOLUMAB 40 MG REFRIGERADO (FO0151),1004746
2026-07-13,UC San Carlos,nivolumab,NIVOLUMAB 100 MG REFRIGERADO (FO0152),2321652
2026-07-13,UC San Carlos,bevacizumab,BEVACIZUMAB 100 MG 4 ML REFRIGERADO (FO0026),644891
2026-07-13,UC San Carlos,bevacizumab,BEVACIZUMAB 400 MG 16 ML REFRIGERADO (FO0516),2226857
2026-07-13,UC San Carlos,bevacizumab,AVASTIN DOSIS JERINGA (OF88920),80312
2026-07-13,UC San Carlos,rituximab,RITUXIMAB 100 MG (FO0091),467455
2026-07-13,UC San Carlos,rituximab,RITUXIMAB 500 MG REFRIGERADO (FO0092),1925619
2026-07-13,UC San Carlos,rituximab,RITUXIMAB 1400MG 11 7ML SUBCUTANEO (FO0154),1752593
2026-07-13,UC San Carlos,rituximab,RITUXIMAB 500MG REFRIGERADO BIOSIMILAR (FX9037),433933
2026-07-13,UC San Carlos,cetuximab,CETUXIMAB 100 MG REFRIGERADO (FO0123),519591
2026-07-13,UC San Carlos,ipilimumab,IPILIMUMAB 50MG EV AMP (FO0160),3947225
2026-07-20,Clinica INDISA,pembrolizumab,PEMBROLIZUMAB 100 MG/4ML (KEYTRUDA),6030118
2026-07-20,Clinica INDISA,daratumumab,DARATUMUMAB 100 MG/5ML (DARZALEX),608349
2026-07-20,Clinica INDISA,daratumumab,DARATUMUMAB 400 MG/20 ML (DARZALEX),2431941
2026-07-20,Clinica INDISA,nivolumab,NIVOLUMAB 100MG/10ML FRASCO,2608162
2026-07-20,Clinica INDISA,nivolumab,NIVOLUMAB 40MG/4ML FRASCO,930122
2026-07-20,Clinica INDISA,nivolumab,NIVOLUMAB 100 MG/10 ML (OPDIVO),2654551
2026-07-20,Clinica INDISA,nivolumab,NIVOLUMAB 40 MG/4 ML (OPDIVO),946666
2026-07-20,Clinica INDISA,bevacizumab,BEVACIZUMAB (AVASTIN) 100 MG/4ML,1054823
2026-07-20,Clinica INDISA,bevacizumab,BEVACIZUMAB (AVASTIN) 400 MG/16 ML,2332689
2026-07-20,Clinica INDISA,bevacizumab,BEVACIZUMAB 100 MG/4 ML (ABXEDA) FRASCO,433160
2026-07-20,Clinica INDISA,bevacizumab,AVASTIN INYECCION 2.5MG (OFTALMOL),64558
2026-07-20,Clinica INDISA,bevacizumab,AVASTIN 100 MG (REFRIGERADO),1036388
2026-07-20,Clinica INDISA,bevacizumab,AVASTIN OFTALMICO 1.25MG/0.05ML,42860
2026-07-20,Clinica INDISA,bevacizumab,AVASTIN 2.5 MG/0.1 ML OFTAL JERINGA,44050
2026-07-20,Clinica INDISA,bevacizumab,PAÃ‘O PROCEDIMIENTO AVASTIN (OFTALMOL),1159
